Mentee,Mentee Email,Mentor,Mentor Email,Score,Shared Hobbies (Exact),Same School,Year Gap,MBTI Mentor/Mentee,Goals (Mentor←Mentee),BRK::pref_gender,BRK::pref_eth,BRK::mentor_pref_gender,BRK::mentor_pref_eth,BRK::same_school,BRK::year_proximity,BRK::hobby_overlap_exact,BRK::mbti,BRK::goals_rule,BRK::goals_semantic,BRK::interests_semantic
Alex Brown,alex.brown@rutgers.edu,Morgan Williams,morgan.williams@stanford.edu,65.0,"Basketball, Coding",False,0,ISFJ / ESTJ,Improve leadership ← Prepare for grad school,0,0,15.0,0.0,0,20,20,10,0,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Sam Williams,sam.williams@stanford.edu,53.0,Gaming,False,0,INTJ / ESTJ,Improve leadership ← Prepare for grad school,0,0,0.0,15.0,0,20,10,8,0,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Sam Garcia,sam.garcia@mit.edu,53.0,"Coding, Gaming",False,0,INTP / ESTJ,Prepare for grad school ← Prepare for grad school,0,0,0.0,0.0,0,20,20,5,8,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Sam Garcia,sam.garcia@mit.edu,50.0,Basketball,False,2,ENFP / ESTJ,Improve leadership ← Prepare for grad school,0,0,15.0,0.0,0,20,10,5,0,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Sam Williams,sam.williams@rutgers.edu,50.0,Gaming,False,0,INTP / ESTJ,Get into tech ← Prepare for grad school,0,0,15.0,0.0,0,20,10,5,0,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Sam Patel,sam.patel@rutgers.edu,39.0,Gaming,False,0,ISTJ / ESTJ,Network more ← Prepare for grad school,0,0,0.0,0.0,0,20,10,9,0,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Jordan Smith,jordan.smith@rutgers.edu,31.0,,False,1,INFJ / ESTJ,Publish research ← Prepare for grad school,0,0,0.0,0.0,0,20,0,7,4,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Morgan Chen,morgan.chen@stanford.edu,19.0,Basketball,False,3,ESTP / ESTJ,Improve leadership ← Prepare for grad school,0,0,0.0,0.0,0,0,10,9,0,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Jamie Khan,jamie.khan@stanford.edu,6.0,,False,3,ISFP / ESTJ,Network more ← Prepare for grad school,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0
Chris Khan,chris.khan@rutgers.edu,Sam Garcia,sam.garcia@mit.edu,104.0,,False,1,ENFP / ENTJ,Improve leadership ← Publish research,30,30,0.0,15.0,0,20,0,9,0,0.0,0.0
Chris Khan,chris.khan@rutgers.edu,Jordan Smith,jordan.smith@rutgers.edu,85.0,Volunteering,True,2,INFJ / ENTJ,Publish research ← Publish research,0,0,15.0,0.0,20,20,10,12,8,0.0,0.0
Chris Khan,chris.khan@rutgers.edu,Sam Garcia,sam.garcia@mit.edu,73.0,Coding,True,3,INTP / ENTJ,Prepare for grad school ← Publish research,30,0,0.0,0.0,20,0,10,9,4,0.0,0.0
