Mentee,Mentee Email,Mentor,Mentor Email,Score,Shared Hobbies (Exact),Same School,Year Gap,MBTI Mentor/Mentee,Goals (Mentor←Mentee),BRK::pref_gender,BRK::pref_eth,BRK::mentor_pref_gender,BRK::mentor_pref_eth,BRK::same_school,BRK::year_proximity,BRK::hobby_overlap_exact,BRK::mbti,BRK::goals_rule,BRK::goals_semantic,BRK::interests_semantic
Alex Brown,alex.brown@rutgers.edu,Morgan Williams,morgan.williams@stanford.edu,65.0,"Basketball, Coding",False,0,ISFJ / ESTJ,Improve leadership ← Prepare for grad school,0,0,15.0,0.0,0,20,20,10,0,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Sam Williams,sam.williams@stanford.edu,53.0,Gaming,False,0,INTJ / ESTJ,Improve leadership ← Prepare for grad school,0,0,0.0,15.0,0,20,10,8,0,0.0,0.0
Alex Brown,alex.brown@rutgers.edu,Sam Garcia,sam.garcia@mit.edu,53.0,"Coding, Gaming",False,0,INTP / ESTJ,Prepare for grad school ← Prepare for grad school,0,0,0.0,0.0,0,20,20,5,8,0.0,0.0
Chris Khan,chris.khan@rutgers.edu,Sam Garcia,sam.garcia@mit.edu,104.0,,False,1,ENFP / ENTJ,Improve leadership ← Publish research,30,30,0.0,15.0,0,20,0,9,0,0.0,0.0
Chris Khan,chris.khan@rutgers.edu,Jordan Smith,jordan.smith@rutgers.edu,85.0,Volunteering,True,2,INFJ / ENTJ,Publish research ← Publish research,0,0,15.0,0.0,20,20,10,12,8,0.0,0.0
Chris Khan,chris.khan@rutgers.edu,Sam Garcia,sam.garcia@mit.edu,73.0,Coding,True,3,INTP / ENTJ,Prepare for grad school ← Publish research,30,0,0.0,0.0,20,0,10,9,4,0.0,0.0
Chris Williams,chris.williams@mit.edu,Sam Garcia,sam.garcia@mit.edu,81.0,Traveling,True,0,ENFP / INFJ,Improve leadership ← Network more,0,0,0.0,15.0,20,20,10,12,4,0.0,0.0
Chris Williams,chris.williams@mit.edu,Jordan Smith,jordan.smith@rutgers.edu,53.0,Volunteering,False,1,INFJ / INFJ,Publish research ← Network more,0,0,15.0,0.0,0,20,10,8,0,0.0,0.0
Chris Williams,chris.williams@mit.edu,Sam Williams,sam.williams@rutgers.edu,53.0,Music,False,2,INTP / INFJ,Get into tech ← Network more,0,0,0.0,15.0,0,20,10,8,0,0.0,0.0
Jamie Patel,jamie.patel@stanford.edu,Sam Williams,sam.williams@rutgers.edu,75.0,Gaming,False,2,INTP / ENFJ,Get into tech ← Get into tech,30,0,0.0,0.0,0,20,10,7,8,0.0,0.0
Jamie Patel,jamie.patel@stanford.edu,Jamie Khan,jamie.khan@stanford.edu,71.0,,False,1,ISFP / ENFJ,Network more ← Get into tech,30,0,15.0,0.0,0,20,0,6,0,0.0,0.0
Jamie Patel,jamie.patel@stanford.edu,Sam Williams,sam.williams@stanford.edu,70.0,Gaming,False,2,INTJ / ENFJ,Improve leadership ← Get into tech,30,0,0.0,0.0,0,20,10,10,0,0.0,0.0
