Mentee,Mentee Email,Mentor,Mentor Email,Score,Mentor Email Is EDU,Validation Notes Mentor,Validation Notes Mentee,Shared Hobbies (Exact),Same School,Year Gap,MBTI Mentee/Mentor,Goals (Mentor←Mentee),BRK::pref_gender,BRK::pref_eth,BRK::mentor_pref_gender,BRK::mentor_pref_eth,BRK::lgbtq_pref,BRK::availability_overlap,BRK::location_state,BRK::year_proximity,BRK::mbti,BRK::goals_rule,BRK::goals_semantic,BRK::interests_semantic
Alex Khan,alex.khan8.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,137.9762,True,,,,False,,ENFP / ENFJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,10.0,10.0,30.0,2.1429,0,0,12,0,19.1534,14.6799
Avery Patel,avery.patel7.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,137.8033,True,,,,False,,ENFP / ENTJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,10.0,10.0,30.0,20.0,0,0,9,0,21.552,17.2514
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,142.2886,True,,,,False,,ENFP / INFJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,10.0,10.0,30.0,3.5714,0,0,12,0,20.3855,16.3317
Casey Khan,casey.khan0.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,101.9926,True,,,,False,,ENFJ / INFP,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,20,0,10.0,0.0,15.0,5.7143,0,0,15,0,17.3477,18.9305
Alex Lee,alex.lee6.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,136.7255,True,,,,False,,INTP / ISTJ,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,10.0,30.0,5.7143,0,0,7,0,20.9546,13.0566
Sam Lee,sam.lee5.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,125.5843,True,,,,False,,ENTJ / ENTP,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,20,10.0,10.0,15.0,4.2857,0,0,10,4,18.3336,13.9649
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,120.6979,True,,,,False,,ENTP / ENFP,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,20,10.0,10.0,15.0,1.6667,0,0,10,0,16.9011,17.1301
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,114.9832,True,,,,False,,ISFJ / INFJ,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,10.0,10.0,15.0,20.0,0,0,8,0,17.9688,14.0144
Sam Chen,sam.chen2.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,105.3676,True,,,,False,,ISTJ / ENFJ,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,0.0,10.0,30.0,3.3333,0,0,8,0,18.3237,15.7106
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,121.7898,True,,,,False,,ESFP / INFP,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,10.0,10.0,8.0,0,0,7,0,20.9404,15.8494
