Mentee,Mentee Email,Mentor,Mentor Email,Score,Mentor Email Is EDU,Validation Notes Mentor,Validation Notes Mentee,Shared Hobbies (Exact),Same School,Year Gap,MBTI Mentee/Mentor,Goals (Mentor←Mentee),BRK::pref_gender,BRK::pref_eth,BRK::mentor_pref_gender,BRK::mentor_pref_eth,BRK::lgbtq_pref,BRK::availability_overlap,BRK::location_state,BRK::year_proximity,BRK::mbti,BRK::goals_rule,BRK::goals_semantic,BRK::interests_semantic
Alex Khan,alex.khan8.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,137.9762,True,,,,False,,ENFP / ENFJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,10.0,10.0,30.0,2.1429,0,0,12,0,19.1534,14.6799
Alex Khan,alex.khan8.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,130.8629,True,,,,False,,ESFP / ENFJ,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,10.0,10.0,30.0,0.0,0,0,8,0,19.1036,13.7594
Alex Khan,alex.khan8.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,121.7924,True,,,,False,,ISTJ / ENFJ,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,0.0,10.0,30.0,0.0,0,0,8,0,19.7143,14.078
Alex Khan,alex.khan8.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,121.5627,True,,,,False,,INTP / ENFJ,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,0.0,10.0,30.0,2.8571,0,0,7,0,17.0237,14.6819
Alex Khan,alex.khan8.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,113.582,True,,,,False,,INTJ / ENFJ,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,10.0,10.0,5.0,5.7143,0,0,10,0,19.9461,12.9216
Alex Khan,alex.khan8.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,109.2027,True,,,,False,,ESTJ / ENFJ,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,10.0,10.0,5.0,3.3333,0,0,9,0,17.3213,14.5481
Alex Khan,alex.khan8.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,107.5976,True,,,,False,,ENTP / ENFJ,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,10.0,10.0,5.0,0.0,0,0,9,0,19.7364,13.8612
Alex Khan,alex.khan8.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,101.1716,True,,,,False,,ENTJ / ENFJ,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,0.0,10.0,5.0,2.8571,0,0,11,0,19.4832,12.8313
Alex Khan,alex.khan8.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,98.1791,True,,,,False,,ENFJ / ENFJ,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,10.0,0.0,5.0,2.8571,0,0,8,0,19.5132,12.8088
Alex Khan,alex.khan8.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,95.7048,True,,,,False,,ISFJ / ENFJ,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← I want to work with international NGOs to bring clean water and sustainable food systems to rural areas.,20,20,10.0,0.0,5.0,0.0,0,0,9,0,19.1179,12.5869
Alex Lee,alex.lee6.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,136.7255,True,,,,False,,INTP / ISTJ,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,10.0,30.0,5.7143,0,0,7,0,20.9546,13.0566
Alex Lee,alex.lee6.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,136.4451,True,,,,False,,ISTJ / ISTJ,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,10.0,30.0,6.6667,0,0,8,0,19.3365,12.442
Alex Lee,alex.lee6.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,135.3506,True,,,,False,,ESFP / ISTJ,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,10.0,30.0,6.6667,0,0,6,0,20.1798,12.5041
