mentor name,mentor email,mentee name,mentee email
Alex Khan,alex.khan24.mentor@rutgers.edu,Morgan Davis,morgan.davis3.mentee@rutgers.edu
Jamie Brown,jamie.brown1.mentor@rutgers.edu,Jordan Johnson,jordan.johnson38.mentee@rutgers.edu
Sam Johnson,sam.johnson4.mentor@rutgers.edu,Casey Johnson,casey.johnson18.mentee@rutgers.edu
Sam Johnson,sam.johnson4.mentor@rutgers.edu,Morgan Williams,morgan.williams39.mentee@rutgers.edu
Jamie Patel,jamie.patel5.mentor@rutgers.edu,Morgan Lee,morgan.lee25.mentee@rutgers.edu
Jamie Patel,jamie.patel5.mentor@rutgers.edu,Sam Smith,sam.smith34.mentee@rutgers.edu
Alex Lee,alex.lee6.mentor@rutgers.edu,Jordan Garcia,jordan.garcia24.mentee@rutgers.edu
Casey Smith,casey.smith9.mentor@rutgers.edu,Jordan Davis,jordan.davis26.mentee@rutgers.edu
Casey Patel,casey.patel10.mentor@rutgers.edu,Alex Khan,alex.khan8.mentee@rutgers.edu
Jordan Khan,jordan.khan12.mentor@rutgers.edu,Jordan Khan,jordan.khan37.mentee@rutgers.edu
Riley Lee,riley.lee13.mentor@rutgers.edu,Chris Lee,chris.lee32.mentee@rutgers.edu
Riley Lee,riley.lee13.mentor@rutgers.edu,Jamie Lee,jamie.lee16.mentee@rutgers.edu
Riley Lee,riley.lee13.mentor@rutgers.edu,Taylor Brown,taylor.brown30.mentee@rutgers.edu
Jamie Smith,jamie.smith15.mentor@rutgers.edu,Avery Johnson,avery.johnson13.mentee@rutgers.edu
Jamie Chen,jamie.chen17.mentor@rutgers.edu,Alex Lee,alex.lee22.mentee@rutgers.edu
Casey Chen,casey.chen22.mentor@rutgers.edu,Alex Smith,alex.smith19.mentee@rutgers.edu
Casey Chen,casey.chen18.mentor@rutgers.edu,Avery Chen,avery.chen27.mentee@rutgers.edu
Avery Brown,avery.brown19.mentor@rutgers.edu,Chris Davis,chris.davis23.mentee@rutgers.edu
Jamie Garcia,jamie.garcia29.mentor@rutgers.edu,Sam Chen,sam.chen2.mentee@rutgers.edu
Jamie Garcia,jamie.garcia29.mentor@rutgers.edu,Morgan Khan,morgan.khan10.mentee@rutgers.edu
Avery Davis,avery.davis23.mentor@rutgers.edu,Casey Khan,casey.khan0.mentee@rutgers.edu
Sam Brown,sam.brown25.mentor@rutgers.edu,Alex Williams,alex.williams35.mentee@rutgers.edu
Sam Brown,sam.brown25.mentor@rutgers.edu,Morgan Chen,morgan.chen1.mentee@rutgers.edu
Sam Williams,sam.williams27.mentor@rutgers.edu,Jamie Smith,jamie.smith12.mentee@rutgers.edu
Casey Brown,casey.brown28.mentor@rutgers.edu,Casey Smith,casey.smith11.mentee@rutgers.edu
Chris Khan,chris.khan30.mentor@rutgers.edu,Riley Johnson,riley.johnson9.mentee@rutgers.edu
Taylor Smith,taylor.smith32.mentor@rutgers.edu,Avery Patel,avery.patel7.mentee@rutgers.edu
Casey Williams,casey.williams33.mentor@rutgers.edu,Jordan Brown,jordan.brown33.mentee@rutgers.edu
Chris Johnson,chris.johnson35.mentor@rutgers.edu,Casey Williams,casey.williams36.mentee@rutgers.edu
Jamie Khan,jamie.khan37.mentor@rutgers.edu,Casey Lee,casey.lee21.mentee@rutgers.edu
Taylor Patel,taylor.patel38.mentor@rutgers.edu,Riley Smith,riley.smith29.mentee@rutgers.edu
Jordan Garcia,jordan.garcia39.mentor@rutgers.edu,Chris Chen,chris.chen31.mentee@rutgers.edu
Jordan Garcia,jordan.garcia39.mentor@rutgers.edu,Chris Williams,chris.williams15.mentee@rutgers.edu
Jordan Garcia,jordan.garcia39.mentor@rutgers.edu,Sam Lee,sam.lee5.mentee@rutgers.edu
