Name,Class Year,Email,Gender,Ethnicity,state,Mentee/Mentor,Availability,School,MBTI,Interest/Hobbies,Goals,Preferred Gender,Preferred Ethnicity
Casey Khan,2025,casey.khan0.mentee@rutgers.edu,Male,Hispanic,NJ,Mentee,Only virtual meetings,Columbia,INFP,debating in Model UN conferences,I want to write and direct a feature-length film after graduation.,Male,White
Morgan Chen,2028,morgan.chen1.mentee@rutgers.edu,Nonbinary,Other,NJ,Mentee,Weekdays mornings,Princeton,INFJ,working on robotics and electronics projects,My goal is to publish a novel and refine my creative writing skills.,Female,No preference
Sam Chen,2025,sam.chen2.mentee@rutgers.edu,Nonbinary,White,NJ,Mentee,Weekends,Princeton,ENFJ,reading science fiction and philosophy books,I want to build a strong portfolio in UX/UI design and land a design internship.,Female,Hispanic
Morgan Davis,2027,morgan.davis3.mentee@rutgers.edu,Nonbinary,White,NJ,Mentee,Weekends,MIT,ENFP,running long-distance marathons,I want to combine my passion for art and AI to innovate in creative industries.,No preference,Asian
Taylor Brown,2025,taylor.brown4.mentee@rutgers.edu,Male,Asian,NJ,Mentee,Weekdays evenings,Columbia,INFP,painting landscapes with watercolors,I want to mentor younger students and contribute to a stronger campus community.,No preference,Mixed
Sam Lee,2025,sam.lee5.mentee@rutgers.edu,Male,White,NJ,Mentee,Weekdays mornings,Rutgers University,ENTP,designing websites and mobile apps,My goal is to secure a research assistantship and contribute to neuroscience projects.,No preference,Mixed
Alex Lee,2027,alex.lee6.mentee@rutgers.edu,Other,Black,NJ,Mentee,Weekdays evenings,MIT,ISTJ,developing VR and AR apps,My goal is to become a chief technology officer at a Fortune 500 company.,No preference,White
Avery Patel,2025,avery.patel7.mentee@rutgers.edu,Other,Asian,NJ,Mentee,Flexible schedule,Harvard,ENTJ,traveling to new countries and exploring cultures,My goal is to specialize in cybersecurity and work for a global firm.,Other,Black
Alex Khan,2027,alex.khan8.mentee@rutgers.edu,Nonbinary,White,NJ,Mentee,Only virtual meetings,Harvard,ENFJ,gardening and growing vegetables,My goal is to work with NGOs to improve healthcare access globally.,Other,Other
Riley Johnson,2027,riley.johnson9.mentee@rutgers.edu,Nonbinary,Mixed,NJ,Mentee,Weekdays evenings,Harvard,INFJ,exploring culinary traditions from around the world,I want to pursue a PhD in mathematics and teach at a top university.,Female,No preference
Morgan Khan,2025,morgan.khan10.mentee@rutgers.edu,Nonbinary,Mixed,NJ,Mentee,Weekdays evenings,Stanford,ISFP,learning about stock trading and investing,My goal is to present at international conferences on artificial intelligence.,Female,Other
Casey Smith,2027,casey.smith11.mentee@rutgers.edu,Female,White,NJ,Mentee,Only virtual meetings,Princeton,INFJ,playing basketball at the campus gym,My goal is to develop new sustainable farming technologies and practices.,No preference,Hispanic
